model,term,n,events,HR,CI_low,CI_high,p
EXTENDED: + log10(AFP),z5,261,74,1.16484473074199,0.922674398788652,1.47057645526824,0.1994288682577
EXTENDED: + vascular invasion,z5,291,85,1.15562964418574,0.925956416448719,1.44227077084554,0.200726715361413
EXTENDED: + cirrhosis (Ishak 5-6),z5,196,58,1.17073872742597,0.886894865948025,1.54542462756268,0.26583369481149
EXTENDED: + vascular invasion + cirrhosis,z5,188,54,1.18495206699049,0.88700970557345,1.58297185728908,0.250758060004784
