cohort,gene,model,term,beta,se,p,q
GSE130970,FASN,partial Spearman adjusting for h_steatosis.grade + h_ballooning.grade,h_lobular.inflammation.grade,-0.186559666885007,,0.106606353660914,0.282837081105996
GSE130970,FASN,partial Spearman adjusting for h_steatosis.grade + h_lobular.inflammation.grade,h_ballooning.grade,0.28213350878813,,0.0135413737028174,0.0812482422169047
GSE130970,COL1A1,expr ~ steatosis + lobular inflammation + ballooning,h_steatosis.grade,0.0224388031699409,0.10060830615189,0.824125632384436,0.859957181618542
GSE130970,COL1A1,expr ~ steatosis + lobular inflammation + ballooning,h_lobular.inflammation.grade,0.333529548588948,0.17515914066403,0.0607780697096652,0.22441133431261
GSE130970,COL1A1,expr ~ steatosis + lobular inflammation + ballooning,h_ballooning.grade,0.354019654660719,0.107385810437707,0.00150448571355345,0.0361076571252829
GSE130970,COL1A1,partial Spearman adjusting for h_lobular.inflammation.grade + h_ballooning.grade,h_steatosis.grade,0.0573848444354534,,0.62244758533826,0.711368668958011
GSE130970,COL1A1,partial Spearman adjusting for h_steatosis.grade + h_ballooning.grade,h_lobular.inflammation.grade,0.173665064843736,,0.133533795135574,0.320481108325379
GSE130970,COL1A1,partial Spearman adjusting for h_steatosis.grade + h_lobular.inflammation.grade,h_ballooning.grade,0.364472840290299,,0.00120855982991962,0.0361076571252829
GSE130970,TGFB1,expr ~ steatosis + lobular inflammation + ballooning,h_steatosis.grade,0.0559777085654458,0.0464682275940898,0.232179110884915,0.484547709672865
GSE130970,TGFB1,expr ~ steatosis + lobular inflammation + ballooning,h_lobular.inflammation.grade,0.088024161736663,0.0809012210311266,0.280106328157449,0.505253148414062
GSE130970,TGFB1,expr ~ steatosis + lobular inflammation + ballooning,h_ballooning.grade,0.145079966098624,0.0495985716354433,0.00456911666393412,0.0377129403849634
GSE130970,TGFB1,partial Spearman adjusting for h_lobular.inflammation.grade + h_ballooning.grade,h_steatosis.grade,0.117398852345531,,0.312497563718046,0.505253148414062
GSE130970,TGFB1,partial Spearman adjusting for h_steatosis.grade + h_ballooning.grade,h_lobular.inflammation.grade,0.0857466405024254,,0.461431928462521,0.618301088722208
GSE130970,TGFB1,partial Spearman adjusting for h_steatosis.grade + h_lobular.inflammation.grade,h_ballooning.grade,0.320857947269255,,0.00471411754812043,0.0377129403849634
