model,term,n,events,HR,CI_low,CI_high,p
JOINT: OS ~ CYB5R3 + MTARC1 + covariates,z5,339,114,1.22782537068896,1.0174217278587,1.48174065839967,0.0323504522956793
JOINT: OS ~ CYB5R3 + MTARC1 + covariates,zm,339,114,0.93002797129987,0.790442854207311,1.09426256787097,0.381964292800825
INTERACTION: OS ~ CYB5R3 * MTARC1 + covariates,z5:zm,339,114,1.03874178141475,0.91128864643259,1.18402055449783,0.569287875333115
AXIS GAP: OS ~ (z_CYB5R3 - z_MTARC1) + covariates,axis_gap,339,114,1.1367708367274,1.0053509980327,1.28536992330302,0.0408446589170533
