cohort,gene,purity_variable,n_raw,rho_raw,p_raw,n_adj,rho_adjusted,p_adjusted,attenuation,q_adjusted
LIHC,SCD,purity_proxy,371,0.163985373496341,0.00152751702354111,371,0.194814789155137,0.000162693288626711,-0.030829415658796,0.00260309261802738
LIHC,PARP16,purity_proxy,371,-0.130600438116525,0.0118074897112731,371,-0.102357977977838,0.0491367474474171,-0.0282424601386875,0.262062653052891
LIHC,NQO1,purity_proxy,371,0.114002645733143,0.0281206712613821,371,0.0890123814617338,0.0873048433977942,0.0249902642714088,0.279375498872942
LIHC,NFE2L2,purity_proxy,371,-0.00140878203866374,0.978425035263025,371,0.00145380332828461,0.977765948673891,-0.00286258536694835,0.977765948673891
LIHC,KEAP1,purity_proxy,371,-0.0926371584687735,0.0747279740127553,371,-0.0712832260710537,0.171230134669553,-0.0213539323977198,0.295631673642739
LIHC,GCLC,purity_proxy,371,-0.122223905809422,0.0185181931538116,371,-0.0907405681392251,0.08131241340257,-0.0314833376701973,0.279375498872942
LIHC,GCLM,purity_proxy,371,-0.0690057234658601,0.184760125004348,371,-0.0694258901532851,0.182688279426895,0.00042016668742495,0.295631673642739
LIHC,GSR,purity_proxy,371,0.0887388783168737,0.0878532173390734,371,0.0690978025339278,0.184769796026712,0.0196410757829459,0.295631673642739
LIHC,GPX4,purity_proxy,371,-0.0285659679405814,0.583366049528956,371,-0.00203231227202466,0.968922221636127,-0.0265336556685567,0.977765948673891
LIHC,TXN,purity_proxy,371,-0.0949593414626185,0.0676991039778646,371,-0.0810453051477995,0.119654924754489,-0.013914036314819,0.295631673642739
LIHC,TXNRD1,purity_proxy,371,0.0492434399458249,0.344215467590665,371,0.0459719277363464,0.377905607229745,0.00327151220947851,0.503874142972994
LIHC,SOD1,purity_proxy,371,-0.0479754708123173,0.35679714077159,371,-0.01114670595748,0.830787001765918,-0.0368287648548374,0.949470859161049
LIHC,SOD2,purity_proxy,371,0.107665040577565,0.0381903536623118,371,0.0626313076238687,0.229425104493324,0.0450337329536966,0.33370924289938
LIHC,CAT,purity_proxy,371,-0.104782461804916,0.0436957675169456,371,-0.0762871490203705,0.143034889443549,-0.0284953127845457,0.295631673642739
LIHC,PRDX1,purity_proxy,371,-0.11930994644709,0.0215314773133673,371,-0.121086359304484,0.0198145897658772,0.00177641285739354,0.158516718127017
LIHC,G6PD,purity_proxy,371,0.0144978087903649,0.780766859546347,371,-0.0167020660366987,0.748812230067164,0.0311998748270636,0.921615052390356
LUAD,SCD,purity_proxy,515,-0.0408468179189477,0.354916227186791,515,-0.022578695765532,0.609551844479064,-0.0182681221534157,0.704500420643073
LUAD,PARP16,purity_proxy,515,0.115311159027497,0.00881336402444258,515,0.14493707969049,0.0009829317976953,-0.029625920662993,0.00314538175262496
LUAD,NQO1,purity_proxy,515,0.0185158673646027,0.6750649922749,515,0.0577123742535849,0.191439179863426,-0.0391965068889821,0.306302687781482
LUAD,NFE2L2,purity_proxy,515,0.0192245484555314,0.663377666663486,515,0.00951509950796751,0.829609914367646,0.00970944894756386,0.829609914367646
LUAD,KEAP1,purity_proxy,515,0.0884444357813265,0.0448371032754419,515,0.106692120155249,0.0155248067838587,-0.0182476843739226,0.0354852726488199
LUAD,GCLC,purity_proxy,515,-0.0621499415876133,0.159030059961157,515,-0.0506631189138788,0.251566699518807,-0.0114868226737346,0.365915199300083
LUAD,GCLM,purity_proxy,515,-0.149079967670055,0.000688982381006904,515,-0.146031081510142,0.000898531547612465,-0.0030488861599122,0.00314538175262496
LUAD,GSR,purity_proxy,515,0.00696884996726492,0.874641187667612,515,0.0397541146173586,0.368413334634261,-0.0327852646500936,0.491217779512348
LUAD,GPX4,purity_proxy,515,0.0887240697414906,0.0441622563478339,515,0.102073030746267,0.0206364884824133,-0.0133489610047766,0.0412729769648266
LUAD,TXN,purity_proxy,515,-0.150370058676946,0.000617899529747653,515,-0.119619610880134,0.00662524590555005,-0.0307504477968117,0.0176673224148001
LUAD,TXNRD1,purity_proxy,515,-0.168836502742497,0.000118179646080342,515,-0.156566144597427,0.000366704331775214,-0.0122703581450704,0.00195575643613447
LUAD,SOD1,purity_proxy,515,-0.0176398880066179,0.6896197706311,515,0.0221451854285051,0.616437868062689,-0.039785073435123,0.704500420643073
LUAD,SOD2,purity_proxy,515,-0.10553596148832,0.016581123939605,515,-0.180461415976222,0.0000386816761043225,0.0749254544879019,0.00030945340883458
LUAD,CAT,purity_proxy,515,0.224698303069744,0.000000256540976152875,515,0.224968509526355,0.000000254734809760056,-0.000270206456610828,0.0000040757569561609
LUAD,PRDX1,purity_proxy,515,-0.0108898899051319,0.805265995569251,515,0.0144290978026754,0.744158940980402,-0.0253189877078073,0.793769537045762
LUAD,G6PD,purity_proxy,515,0.0688021425957165,0.118896189969578,515,0.0864136054532007,0.0502269547184759,-0.0176114628574842,0.0892923639439571
