model,term,n,events,HR,CI_low,CI_high,p
PRIMARY: OS ~ CYB5R3(per SD) + age + sex + stage,z5,339,114,1.22567348993705,1.01494777172196,1.48015055137832,0.0345058142485385
PRIMARY: OS ~ MTARC1(per SD) + age + sex + stage,zm,339,114,0.936464244383794,0.798469810246512,1.09830737462518,0.419621276339925
SENSITIVITY: PFI ~ CYB5R3(per SD) + covariates,z5,339,162,1.00735912892926,0.860506914538533,1.1792728187214,0.927329580094945
SENSITIVITY: PFI ~ MTARC1(per SD) + covariates,zm,339,162,1.01651215352632,0.880106587864328,1.17405888390646,0.823713947723435
SECONDARY (not primary): median split,hi5High,339,114,1.20637910106182,0.82902709353871,1.75549212664033,0.326939056608017
