cohort,gene,histology_raw,histology,n,n_groups,rho,p_trend,p_kruskal,q_trend
GSE130970,PARP16,fibrosis.stage,fibrosis stage,78,5,-0.0123037201357937,0.914857878677419,0.61816011585961,0.926189691657298
GSE135251,PARP16,fibrosis.stage,fibrosis stage,216,5,-0.186982484811649,0.005842762554952,0.0174235981737733,0.0200323287598354
GSE162694,PARP16,fibrosis.stage,fibrosis stage,99,5,-0.246046381600956,0.0140922435229244,0.00120855775323683,0.042198993595214
GSE130970,PARP16,lobular.inflammation.grade,lobular inflammation grade,78,3,-0.132991951602267,0.245741763474357,0.0433014417859479,0.361089938166402
GSE130970,PARP16,nafld.activity.score,NAFLD activity score,78,7,0.0203245996878522,0.859805201343119,0.363295519387904,0.925617776751709
GSE135251,PARP16,nas.score,NAFLD activity score,216,9,0.0288089501787346,0.673730270725131,0.576699059175659,0.769977452257293
GSE162694,PARP16,nas.score,NAFLD activity score,102,8,-0.329583882895068,0.000717921663855241,0.0165062362597601,0.00397618152289056
GSE130970,PARP16,steatosis.grade,steatosis grade,78,4,0.101201701108448,0.377979467832711,0.428089518190531,0.508687589478651
GSE130970,SCD,cytological.ballooning.grade,ballooning grade,78,3,0.100457271554656,0.381515692108988,0.656074899044317,0.508687589478651
GSE130970,SCD,fibrosis.stage,fibrosis stage,78,5,0.0163123515348748,0.887277307325471,0.59612533643338,0.925854581557013
GSE135251,SCD,fibrosis.stage,fibrosis stage,216,5,0.138212049681254,0.0424321479538338,0.168143298321641,0.089856313314001
GSE162694,SCD,fibrosis.stage,fibrosis stage,99,5,0.201966931177832,0.0449915202252012,0.0596963403825404,0.092553984463271
GSE130970,SCD,lobular.inflammation.grade,lobular inflammation grade,78,3,-0.0201000308364395,0.861338764477285,0.362166235482299,0.925617776751709
GSE130970,SCD,nafld.activity.score,NAFLD activity score,78,7,0.12235975730963,0.28587196703655,0.0211118269728679,0.411655632532632
GSE135251,SCD,nas.score,NAFLD activity score,216,9,0.254303660202933,0.000158029893603514,0.0000144110511121303,0.00126423914882811
GSE162694,SCD,nas.score,NAFLD activity score,102,8,-0.0778726027244443,0.436590130701471,0.261847298601135,0.551482270359752
GSE130970,SCD,steatosis.grade,steatosis grade,78,4,0.191755501349678,0.09259934259409,0.0541329912609696,0.166678816669362
GSE130970,TGFB1,cytological.ballooning.grade,ballooning grade,78,3,0.369132072778994,0.000881860350227879,0.004804906111242,0.00453528180117195
GSE130970,TGFB1,fibrosis.stage,fibrosis stage,78,5,0.351171986327427,0.00161910992021405,0.00885693967089665,0.00777172761702745
GSE135251,TGFB1,fibrosis.stage,fibrosis stage,216,5,0.0913031468961498,0.181260334725347,0.305803761485208,0.28371182826576
GSE162694,TGFB1,fibrosis.stage,fibrosis stage,99,5,0.1389908120081,0.170048748912914,0.0900938263552218,0.272077998260662
GSE130970,TGFB1,lobular.inflammation.grade,lobular inflammation grade,78,3,0.186608295993643,0.101865617233911,0.0832286973317548,0.178885961971746
GSE130970,TGFB1,nafld.activity.score,NAFLD activity score,78,7,0.379366767557667,0.000613935539824335,0.0824072249445305,0.00368361323894601
GSE135251,TGFB1,nas.score,NAFLD activity score,216,9,0.209615310232191,0.00195285306809487,0.0204987934165088,0.00878783880642689
GSE162694,TGFB1,nas.score,NAFLD activity score,102,8,0.367506053483228,0.00014484167800429,0.00880880343910907,0.00126423914882811
GSE130970,TGFB1,steatosis.grade,steatosis grade,78,4,0.20105742225746,0.0775478235433565,0.229961937758247,0.143165212695427
