added,C_base,C_base_lo,C_base_hi,C_full,C_full_lo,C_full_hi,dC,dC_lo,dC_hi,B
CYB5R3,0.62906156708346,0.580198541146697,0.688483851716851,0.633755894950894,0.593445146430363,0.69305155999625,0.00469432786743396,-0.0147799373506655,0.0373049933621037,1000
MTARC1,0.62906156708346,0.582204855530744,0.68682476205232,0.629775451044867,0.58794843343642,0.688162749707647,0.000713883961407036,-0.0110982123736275,0.0312794648302863,1000
CYB5R3 + MTARC1,0.62906156708346,0.582012996602431,0.685786236237218,0.637433478994505,0.596087263950931,0.700060980512835,0.0083719119110458,-0.0103008501006642,0.0500493496121558,1000
