stratifier,test,p,levels
stage,Jonckheere-Terpstra,0.163509759803952,"I (n=171, median 12.73); II (n=86, median 12.73); III (n=85, median 12.87); IV (n=5, median 13.45)"
grade,Jonckheere-Terpstra,0.0067388500784176,"G1 (n=55, median 12.84); G2 (n=177, median 12.85); G3 (n=122, median 12.71); G4 (n=12, median 12.37)"
