model,term,n,events,HR,CI_low,CI_high,p
GSE14520 UNADJUSTED: OS ~ CYB5R3 (per SD)  [terms: z],z,242,96,1.42031189121208,1.1438342119817,1.76361735572104,0.00149008903825013
"GSE14520 ADJUSTED (age, sex, TNM): OS ~ CYB5R3 (per SD)  [terms: z + agev + sexv + tnm_bin]",z,225,86,1.24394120817337,0.992286109923318,1.5594189154894,0.0583824614264488
GSE14520 EXTENDED ADJUSTMENT: OS ~ CYB5R3 (per SD)  [terms: z + agev + sexv + tnm_bin + cirrh + multin],z,225,86,1.21816743328947,0.970348125147435,1.5292778509791,0.0890212963508732
GSE14520 UNADJUSTED: OS ~ MTARC1 (per SD)  [terms: z],z,242,96,0.728133338191004,0.597114625506641,0.887900137658374,0.00172049114764247
"GSE14520 ADJUSTED (age, sex, TNM): OS ~ MTARC1 (per SD)  [terms: z + agev + sexv + tnm_bin]",z,225,86,0.893743035541066,0.724649600138338,1.10229359600236,0.29380613189971
GSE14520 EXTENDED ADJUSTMENT: OS ~ MTARC1 (per SD)  [terms: z + agev + sexv + tnm_bin + cirrh + multin],z,225,86,0.880722488882588,0.713485918373362,1.08715825000717,0.237139954000539
GSE14520 JOINT (adjusted): CYB5R3 + MTARC1,z5,225,86,1.26658139082857,1.01159183471738,1.58584555997472,0.0393555312474465
GSE14520 JOINT (adjusted): CYB5R3 + MTARC1,zm,225,86,0.865335608200454,0.699071566710974,1.07114314252927,0.183965748953088
GSE14520 AXIS GAP (adjusted): (z_CYB5R3 - z_MTARC1),axis_gap,225,86,1.20682056887344,1.02415028917684,1.42207242515803,0.0247722960483827
