gene,histology,cohort,histology_raw,n,n_groups,rho,p_trend,p_kruskal,q_trend,rho_pooled,lo,hi,q,I2
CYB5R3,fibrosis stage,GSE130970,fibrosis.stage,78,5,0.245889185423506,0.0300062529372325,0.017653231709809,0.0675140691087731,0.0081554425127627,-0.243072220916046,0.258357772266156,0.950249490023231,82.6839925640084
CYB5R3,fibrosis stage,GSE135251,fibrosis.stage,216,5,0.0104267826830499,0.878905576612608,0.305767053302917,0.925854581557013,0.0081554425127627,-0.243072220916046,0.258357772266156,0.950249490023231,82.6839925640084
CYB5R3,fibrosis stage,GSE162694,fibrosis.stage,99,5,-0.220780551684513,0.0280909320557334,0.0231824131212073,0.0652434550971872,0.0081554425127627,-0.243072220916046,0.258357772266156,0.950249490023231,82.6839925640084
CYB5R3,NAFLD activity score,GSE130970,nafld.activity.score,78,7,0.333076139371266,0.00288495856197876,0.0226718689233405,0.011539834247915,0.109853247083117,-0.147378450702308,0.353166037371693,0.496567616684184,83.2254100386013
CYB5R3,NAFLD activity score,GSE135251,nas.score,216,9,0.126796510071958,0.062854044872947,0.000184249968987613,0.122310573806816,0.109853247083117,-0.147378450702308,0.353166037371693,0.496567616684184,83.2254100386013
CYB5R3,NAFLD activity score,GSE162694,nas.score,102,8,-0.130561436708297,0.190886507292825,0.00230304036879245,0.292421883512412,0.109853247083117,-0.147378450702308,0.353166037371693,0.496567616684184,83.2254100386013
MTARC1,fibrosis stage,GSE130970,fibrosis.stage,78,5,-0.323402622279006,0.00387520940142327,0.00195593771615491,0.0146850040474987,-0.224346962801173,-0.316945457282843,-0.127511894547493,0.00003094547550153,0
MTARC1,fibrosis stage,GSE135251,fibrosis.stage,216,5,-0.179555924758689,0.00816565306499989,0.0338605137284478,0.0259955544287805,-0.224346962801173,-0.316945457282843,-0.127511894547493,0.00003094547550153,0
MTARC1,fibrosis stage,GSE162694,fibrosis.stage,99,5,-0.243126916551192,0.0153141888104713,0.0114426338045869,0.0424085228597668,-0.224346962801173,-0.316945457282843,-0.127511894547493,0.00003094547550153,0
MTARC1,NAFLD activity score,GSE130970,nafld.activity.score,78,7,-0.222115159453112,0.0506438134241477,0.308408319439988,0.101287626848295,-0.192650233408132,-0.370614711477238,-0.00104070504545382,0.0867269200901433,70.180523935307
MTARC1,NAFLD activity score,GSE135251,nas.score,216,9,-0.0387651439826583,0.57096142503125,0.705743592483168,0.6851537100375,-0.192650233408132,-0.370614711477238,-0.00104070504545382,0.0867269200901433,70.180523935307
MTARC1,NAFLD activity score,GSE162694,nas.score,102,8,-0.342672777531405,0.000422613970969771,0.0111975407057071,0.00276620053725668,-0.192650233408132,-0.370614711477238,-0.00104070504545382,0.0867269200901433,70.180523935307
NQO1,fibrosis stage,GSE130970,fibrosis.stage,78,5,0.120444159264802,0.293539048695854,0.281800712715465,0.414408068747088,0.210926868819376,-0.0728392595532754,0.463100305960148,0.209141073565865,86.2243498411346
NQO1,fibrosis stage,GSE135251,fibrosis.stage,216,5,0.445844335195164,0.0000000000060379135033023,0.00000000920194444649049,0.000000000217364886118883,0.210926868819376,-0.0728392595532754,0.463100305960148,0.209141073565865,86.2243498411346
NQO1,fibrosis stage,GSE162694,fibrosis.stage,99,5,0.0125275075767746,0.902052542339456,0.29088519865696,0.926189691657298,0.210926868819376,-0.0728392595532754,0.463100305960148,0.209141073565865,86.2243498411346
NQO1,NAFLD activity score,GSE130970,nafld.activity.score,78,7,0.202911117542727,0.0747958435182593,0.669565973151963,0.141718440350386,0.203690160405427,-0.0519823924720195,0.434303273406741,0.187892537554806,83.2059759061455
NQO1,NAFLD activity score,GSE135251,nas.score,216,9,0.393390204883319,0.00000000208030894371195,0.0000213699060371528,0.0000000299564487894521,0.203690160405427,-0.0519823924720195,0.434303273406741,0.187892537554806,83.2059759061455
NQO1,NAFLD activity score,GSE162694,nas.score,102,8,-0.0255400073127835,0.798874504691514,0.448922097660052,0.884907143658292,0.203690160405427,-0.0519823924720195,0.434303273406741,0.187892537554806,83.2059759061455
PARP16,fibrosis stage,GSE130970,fibrosis.stage,78,5,-0.0123037201357937,0.914857878677419,0.61816011585961,0.926189691657298,-0.168531420832205,-0.26378658744289,-0.0700209190279155,0.00228008687225824,0.000117175226992058
PARP16,fibrosis stage,GSE135251,fibrosis.stage,216,5,-0.186982484811649,0.005842762554952,0.0174235981737733,0.0200323287598354,-0.168531420832205,-0.26378658744289,-0.0700209190279155,0.00228008687225824,0.000117175226992058
PARP16,fibrosis stage,GSE162694,fibrosis.stage,99,5,-0.246046381600956,0.0140922435229244,0.00120855775323683,0.042198993595214,-0.168531420832205,-0.26378658744289,-0.0700209190279155,0.00228008687225824,0.000117175226992058
PARP16,NAFLD activity score,GSE130970,nafld.activity.score,78,7,0.0203245996878522,0.859805201343119,0.363295519387904,0.925617776751709,-0.094437567636024,-0.321270640262003,0.142644233591302,0.498325122140266,80.2196905611619
PARP16,NAFLD activity score,GSE135251,nas.score,216,9,0.0288089501787346,0.673730270725131,0.576699059175659,0.769977452257293,-0.094437567636024,-0.321270640262003,0.142644233591302,0.498325122140266,80.2196905611619
PARP16,NAFLD activity score,GSE162694,nas.score,102,8,-0.329583882895068,0.000717921663855241,0.0165062362597601,0.00397618152289056,-0.094437567636024,-0.321270640262003,0.142644233591302,0.498325122140266,80.2196905611619
SCD,fibrosis stage,GSE130970,fibrosis.stage,78,5,0.0163123515348748,0.887277307325471,0.59612533643338,0.925854581557013,0.130786733736785,0.0315107627776108,0.227507357760915,0.022737020966173,0
SCD,fibrosis stage,GSE135251,fibrosis.stage,216,5,0.138212049681254,0.0424321479538338,0.168143298321641,0.089856313314001,0.130786733736785,0.0315107627776108,0.227507357760915,0.022737020966173,0
SCD,fibrosis stage,GSE162694,fibrosis.stage,99,5,0.201966931177832,0.0449915202252012,0.0596963403825404,0.092553984463271,0.130786733736785,0.0315107627776108,0.227507357760915,0.022737020966173,0
SCD,NAFLD activity score,GSE130970,nafld.activity.score,78,7,0.12235975730963,0.28587196703655,0.0211118269728679,0.411655632532632,0.110612369663478,-0.0902891683703505,0.302863582190558,0.373651843175331,72.3608010363353
SCD,NAFLD activity score,GSE135251,nas.score,216,9,0.254303660202933,0.000158029893603514,0.0000144110511121303,0.00126423914882811,0.110612369663478,-0.0902891683703505,0.302863582190558,0.373651843175331,72.3608010363353
SCD,NAFLD activity score,GSE162694,nas.score,102,8,-0.0778726027244443,0.436590130701471,0.261847298601135,0.551482270359752,0.110612369663478,-0.0902891683703505,0.302863582190558,0.373651843175331,72.3608010363353
